ID,Japanese,English,Chinese,EnglishCensored,Korean,German
10,"","Select destination floor.","請選擇要前往的樓層","","이동할 층을 선택해주세요","Wähle ein Stockwerk."
11,"","4F: K-Cafe/Medal Man","4F　K-Cafe、獎牌大叔","","4F: K-카페/메달 아저씨","4. Stock: K-Café/Medaillensammler"
12,"","3F: Restaurants/Used Books","3F　美食街、二手書店","","3F: 식당가/중고서점","3. Stock: Restaurants/Bücher"
13,"","2F: CD Shop","2F　唱片行","","2F: CD숍","2. Stock: CD-Laden"
14,"","1F: Kuremi Detective Agency","1F　暮海偵探事務所","","1F: 쿠레미 탐정사무소","1. Stock: Detektivbüro Kuremi"
15,"","B1F: Boiler Room","B1F　鍋爐室","","B1F: 보일러실","KG: Heizraum"
16,"","Exit","取消","","그만둔다","Verlassen"
17,"","Lobby","大廳","","로비","Empfang"
18,"","General Ward","一般病房","","일반병동","Normalstation"
19,"","Special Ward","特殊病房","","특별병동","Spezialstation"
20,"","The perpetrator is...","犯人是……","","범인은……","Der Täter ist ..."
21,"","Ichihara","市原","","이치하라","Ichihara"
22,"","Nishio","西尾","","니시오","Nishio"
23,"","Sanpei","三平","","산페이","Sanpei"
24,"","Yotsuya","四谷","","요츠야","Yotsuya"
25,"","Think it over","重新思考","","다시 한번 생각한다","Noch mal überlegen"
26,"","Give which medicine?","要給予哪一種藥物呢？","","어떤 약을 주겠습니까?","Welche Medizin geben?"
27,"","Virus medicine","病毒種專用的藥","","바이러스종 전용약","Virus-Medizin"
28,"","Data medicine","資料種專用的藥","","데이터종 전용약","Datei-Medizin"
29,"","Vaccine medicine","疫苗種專用的藥","","백신종 전용약","Impfstoff-Medizin"
30,"","Free medicine","自由種專用的藥","","프리종 전용약","Neutrale Medizin"
31,"","Don't give now","先不要給","","지금은 주지 않는다","Jetzt nicht geben"
32,"","1F Lobby","1F　　大廳","","1F 로비","EG – Lobby"
33,"","13F","13F","","13F","12. Stock"
34,"","14F","14F","","14F","13. Stock"
35,"","15F","15F","","15F","14. Stock"
36,"","27F","27F","","27F","26. Stock"
37,"","28F","28F","","28F","27. Stock"
38,"","29F","29F","","29F","28. Stock"
39,"","30F","30F","","30F","29. Stock"
40,"","36F","36F","","36F","35. Stock"
41,"","37F","37F","","37F","36. Stock"
42,"","38F","38F","","38F","37. Stock"
43,"","39F","39F","","39F","38. Stock"
44,"","40F","40F","","40F","39. Stock"
45,"","48F","48F","","48F","47. Stock"
46,"","49F","49F","","49F","48. Stock"
47,"","Roof","R　天台","","R 옥상","Dach"
100,"","What do you want to do?","要做什麼呢？","","무엇을 하겠습니까?","Was möchtest du tun?"
101,"","Sell medals","販賣持有獎牌","","소지 메달을 매각한다","Medaillen verkaufen"
102,"","Look at your collection","請對方出示收藏品","","컬렉션을 본다","Sammlung ansehen"
103,"","Never mind","不……沒什麼事","","아니…아무것도 아닙니다","Hat sich erledigt."
600,"","Who shall I take...?    Page 1","帶誰一起去呢……　　　　第一頁","","누구를 데려갈까…　　　　Page 1","Wen nehme ich mit?   Seite 1"
601,"","Erika","艾莉卡","","에리카","Erika"
602,"","Ryuji","龍司","","류지","Ryuji"
603,"","Chitose","千歲","","치토세","Chitose"
604,"","Yu","優","","유우","Yu"
605,"","Nokia","諾奇雅","","노키아","Nokia"
606,"","Arata","新","","아라타","Arata"
607,"","Matayoshi","又吉","","마타요시","Matayoshi"
608,"","Fei","菲","","페이","Fei"
609,"","Date","伊達","","다테","Date"
610,"","Yuuko","悠子","","유코","Yuuko"
611,"","→ Next","→下一頁","","→다음","→ Weiter"
612,"","← Back","←返回","","←이전","← Zurück"
613,"","Agumon & Gabumon","亞古獸＆加布獸","","아구몬&파피몬","Agumon und Gabumon"
614,"","Renamon","妖狐獸","","레나몬","Renamon"
615,"","Beelzemon","墮天地獄獸","","베르제브몬","Beelzemon"
616,"","Leomon","獅子獸","","레오몬","Leomon"
617,"","Lillymon","花仙獸","","릴리몬","Lillymon"
618,"","Who shall I take...?    Page 2","帶誰一起去呢……　　　　第二頁","","누구를 데려갈까…　　　　Page 2","Wen nehme ich mit?   Seite 2"
619,"","Who shall I take...?    Page 3","帶誰一起去呢……　　　　第三頁","","누구를 데려갈까…　　　　Page 3","Wen nehme ich mit?   Seite 3"
620,"","Who shall I take...?    Page 4","帶誰一起去呢……　　　　第四頁","","누구를 데려갈까…　　　　Page 4","Wen nehme ich mit?   Seite 4"
640,"","Digimon Battles","數碼寶貝戰鬥","","디지몬 배틀에 대하여","Digimon-Kämpfe"
641,"","Types and Attributes","種族與屬性","","종족과 속성","Typen und Attribute"
642,"","Abnormal Statuses","異常狀態的種類","","상태이상의 종류","Statusleiden"
643,"","Cross Combos and Friendship","交錯連擊與友情","","크로스콤보와 우정","Kreuzkombos und Freundschaft"
644,"","Skill Settings","技能設定","","스킬 세팅","Fertigkeitseinstellungen"
645,"","Support Skills","輔助技能","","서포트 스킬","Unterstützungsfertigkeiten"
646,"","Close","關閉","","닫는다","Schließen"
700,"","B2","B２","","B2","B2"
701,"","B13","B１３","","B13","B13"
702,"","B14","B１４","","B14","B14"
703,"","B666","B６６６","","B666","B666"
704,"","B9--99-9--9","B９■■９９■９■■９","","B9■■99■9■■9","B9--99-9--9"
64,"","Select an Option","","","",""
65,"","Gain Money","","","",""
66,"","Clears Game","","","",""
67,"","Battle on a Different Field","","","",""
68,"","Add all Items","","","",""
69,"","Tutorial Battle","","","",""
70,"","Add Random Party Member","","","",""